,training material,,,organization of event,,,advantages of onboarding,,,challenges of onboarding,,,
Codes,workflow,best practices,vision / objectives,agenda,Environment / supports,format,to ecosystem/project,to individual,to company,to ecosystem/project,to individual,to company,MISC
active participation,,,,,,E/A,,,,,,,
activities that groom new contributors to be productive,,,,,,,E/A,E/A,,,,,
add requested code changes,E/A,,,,,,,,,,,,
add value to ecosystem/project,,,,,,,E/A,,,,,,
address code review comments,,E/A,,,,,,,,,,,
align project selection with personal interests,,,E/A,,,,,,,,,,
Assigning tasks to participants,,,,E/A,,,,,,,,,
attend regular meetings,,E/A,,,,,A,,,,,,
attract contributors,,,,,,,E/A,E/A,,,,,
availability of mentors,,,,,E/A,,,,,,,,
begin task,E,,,,,,,,,,,,
benefit of smaller commits,,E/A,,,,,,,,,,,
best practices for contributors encouraged within ecosystem project teams,,E/A,,,,,,,,,,,
breakout sessions,,,,,,E/A,,,,,,,
bug fix,E/A,,,,,,,,,,,,
bug fix workflow,E/A,,,,,,,,,,,,
bug identification,E/A,,,,,,,,,,,,
bug triaging,E/A,,,,,,,,,,,,
Build a network within your project team,,E/A,,,,,,E/A,,,,,
building expertise,,,,,,,,E/A,,,,,
changes trigger CI,E/A,,,,,,,,,,,,
code review,E/A,,,,,,,,,,,,
coding activities,E/A,,,,,,,,,,,,
collaborative,,,,,,E,A,A,,,,,
commit and push changes,E/A,,,,,,,,,,,,
commit message best practices,,E/A,,,,,,,,,,,
communicate,,E,,,,,,,,,,,
communicating values to ease work progress,,E/A,,,,,,,,,,,
communication channel,,,,,,,E/A,,,,,,
communication faciltate collaboration and productivity,,,,,,,E/A,,,,,,
"competing for rewards, +1, +2, -1, -2",,,,,,E/A,,,,,,,
consistent comments,,E/A,,,,,,,,,,,
contribute to OpenStack,,,E/A,,,,,,,,,,
contribution workfow,E/A,,,,,,,,,,,,
contributors exit project due to problems faced,,,,,,,,,,E/A,E/A,,
Coordinating,,,,,E/A,,,,,,,,
creating a  new branch in your local repo,E/A,,,,,,,,,,,,
creating account,E/A,,,,,,,,,,,,
critical thinking,,,,,,,,E/A,,,,,
cross-project collaboration,,,E/A,,,,E/A,,,,,,
debugging,E/A,,,,,,,,,,,,
deep dive exercises (Walk through exercises?),E/A,,,,,,,,,,,,
demonstration example,E/A,,,,,,,,,,,,
demonstration of best practices,,E/A,,,,,,,,,,,
Devstack on Sandbox,E,,,,A,,,,,,,,
different participant background,,,E,,,,,,,,,,
difficult starting in OpenStack,,,,,,,,,,,E/A,,
difficulty aligning project with personal interests,,,,,,,,,,,E/A,,
direct observation study,,,,,,E/A,,,,,,,
discussion groups,,,,,,E/A,,,,,,,
diverse contributions,,,,,,,E,,,,,,
domain knowledge,,,,,,,A,,,,,,
duration of activity,,,,,,A,,,,,,,
easier review (Facilitate code-review process?),,,,,,,E/A,E/A,,,,,
"Ecosystem -- overseeing the diversed community wide concerns, manages (cross)-project teams.",,,E/A,,,,,,,,,,
"Ecosystems vs. project-teams specifics, how they relate",,,E/A,,,,,,,,,,
effective communication,,,,,,,E/A,E/A,,,,,
entangled commits,,E,,,,,,,,,,,
Events,,,E,A,,,,,,,,,
execute tests,E/A,,,,,,,,,,,,
experts diverse knowledge build an inclusive ecosystem,,,E,,,,,,,,,,
face-face meeting,,,,,,E/A,,,,,,,
familiarizing with code and comment style,E/A,,,,,,,,,,,,
feature design (contributions),E/A,,,,,,,,,,,,
filling survey,,,,,,E/A,,,,,,,
find information (Information search?),E,,,,,,,,,,,,
fix merge conflicts,E/A,,,,,,,,,,,,
fix mistakes in documentation,E,,,,,,,,,,,,
follow the community schedule (Align to comm. schedule),,E/A,,,,,,,,,,,
gerrit (code review system),E/A,,,,,,,,,,,,
group discusssion,,,,,,E/A,,,,,,,
grow expertise within community,,,E/A,,,,E/A,,,,,,
growth of individual contributor techncial skills,,,E,,,,,E/A,,,,,
hackerthon,,,,,,E/A,,,,,,,
mentors assist participants,,,E,,,,,,,,,,
How to increase acceptance rate,,,,,,,,E/A,,,,,
identify experts in project domain,,,,,,,,E/A,,,,,
identify mistakes (fixing issues) in documentation,E/A,,,,,,,,,,,,
important to feel included and comfortable in project,,,,,,,,E/A,,,,,
impression  management,,,,,,,,,,,,,
incentive,,,,,,,,,,,,,
increase number of diverse opinions,,,E,,,,E/A,,,,,,
increase productivity,,,E,,,,E/A,E,,,,,
increase skills,,,E,,,,,E/A,,,,,
increased diversity,,,E,,,,E/A,,,,,,
increasing number of contributors,,,E/A,,,,E/A,,,,,,
individual project goals,,,E/A,,,,,,,,,,
informal communication channels,,,,,,E/A,,,,,,,
interact with students,,,,E,,,,,,,,,
introduction of observer,,,,E,,,,,,,,,
investment of time,,,,,,,,,,E/A,E/A,,
issue tracking,E/A,,,,,,,,,,,,
join communication channels,E,,,,,,,,,,,,
knowledge sharing,,,E/A,,,,E,E/A,,,,,
lack of interest causes frustration,,,,,,,,,,,E/A,,
language barriers,,,,,,,,,,E/A,E/A,,
laptop with pre-installed Ubuntu environment (working environment),,,,,E/A,,,,,,,,
launchpad/storyboard (issue tracker),E/A,,,,,,,,,,,,
low entry barrier,,,E/A,,,,E/A,,,,,,
mailing list subscription (account creation/communication channel),E/A,,,,,,,,,,,,
make code changes,E/A,,,,,,,,,,,,
make first contribution,E/A,,,,,,,,,,,,
media to facilitate communication within ecosystem,,,,,,,,,,,,,
mentees-mentees collaborating towards productivity,,,,,,,,,,,,,
mentor engagement,,,,,E/A,,,A,,,,,
mentor introduction,,,,E/A,,,,,,,,,
mentor network with particpants,,,,E/A,,,,,,,,,
mentor past onboarding experience,,,,,E,,A,E,,,,,
mentor project affiliation,,,,,E,,A,,,,,,
mentor provides solution,,,,E/A,,,,A,,,,,
mentor serves as observer,,,,,,E/A,,,,,,,
mentor-assigned activities,,,,E/A,,,,,,,,,
mentor-student communication,,,,E/A,,,,,,,,,
mentoring,,,E/A,,,,,,,,,,
Mentoring brings value to stakeholders and ROI,,,,,,,E/A,,E/A,,,,
mentoring helps achieve long and short term goals,,,,,,,E/A,,,,,,
mentoring program,,,,,,E/A,,,,,,,
Mentoring; learning from experts -- knowledge transfer mentors-mentees,,,E/A,,,,E/A,E/A,,,,,
mentors -- keystone organisms that stregnten weaker organisms,,,,,,,A,A,,,,,
mentors provide feedback,,,,,,,,A,,,,,
mentors provide guidance,,,,,,,,,,,,,
mentors sit with participants,,,,,,E/A,,,,,,,
mentors-mentees collaborating towards productivity,,,,,,,,,,,,,
minimum observer-participant interaction,,,,,,E,,,,,,,
new contributors building persona,E/A,,,,,,,,,,,,
new contributors configuration,E/A,,,,,,,,,,,,
new contributors learning style influences mentoring outcome,,,,,,,,,,,E/A,,
observation performed for consenting participants,,,,,,,,,,,,,
observer-participant interaction,,,,,,E/A,,,,,,,
observing new contributors in their working environment -- Emic approach,,,,,,,,,,A,A,,
on-site training,,,,,,E/A,,,,,,A,
onboarding adapts to diverse learning methods,,,,,,,E/A,E/A,,A,,,
onboarding nuturing new contributors to grow in the ecosystem with confident,,,,,,,E/A,,,,,,
onboarding process grooms new contributors towards productivity,,,,,,,E/A,E/A,,,,,
onboarding process transforming mentee to mentors,,,,,,,A,E,,,,,
onboarding reawakens skills and ensure best practices,,,,,,,,E/A,,,,,
onboarding tooling and process to facilitate contributions,E/A,,,,,,,,,,,,
open collaboration,,,,,,,E/A,,,,A,,
OpenStack development environment,E/A,,,,,,,,,,,,
OpenStack goals on project quality,,,E/A,,,,,,,,,,
OpenStack objectives and foundation,,,E/A,,,,,,,,,,
OpenStack release cycle,,,E/A,,,,,,,,,,
OUI purpose,,,E/A,,,,,,,,,,
overview of contribution workflow,,,,E/A,,,,,,,,,
Particioants ensuring code Quality assurance,E/A,,,,,,A,,,,,,
participant account creation,E/A,,,E/A,,,,,,,,,
participant and mentor seating (configuration),,,,E/A,,,,,,,,,
participant signs agreement (enguagement SLA?),,,,E/A,,,,,,,,,
participants clone a project repository,E/A,,,,,,,,,,,,
patience,,E,,,,,,,,,,,
possibility of insufficient mentors,,,,,,,,,,E/A,,,
possible configuration issues (work env?),,,,,,,,,,,E/A,,
post-event onboarding,,,,,,E/A,,A,,,,,
power-ranked code reviewers,,,,,E/A,,,,,,,,
Practical Knowledge,,,,,,,,,,,,,
presentation by mentors,,,,E/A,,,,,,,,,
presentation timing,,,,,,E/A,,,,,,,
prior experience from school projects,,,,,,,,,,,,,E
prior setup instructions to participants,,,,E/A,,,,,,,A,,
privacy agreement (SLA?),,,,E/A,,,,,,,,,
problem-based learning,,,,,,,,E/A,,,,,
problems arise,,,,,,,,,,,,,
product roadmap,,,E/A,,,,,,,,,,
production-safe tests (PRODUCTION?),,E,,,,,,,,,,,
project choice guided by mentor description of projects,,,,,,,,E/A,,,,,
project communities,,,,,,,,,,,,,
project design paradigm,,,,,,,,,,,,,
project functionality identification,E/A,,,,,,,,,,,,
project team leads,,,,,E/A,,,,,,,,
project teams,,,,,,,,,,,,,
project vs ecosystem,,,E/A,,,,,,,,,,
project work culture,,,E/A,,,,,,,,,,
project workflow,,,E/A,,,,,,,,,,
push changes,E/A,,,,,,,,,,,,
python,E,,,,,,,,,,,,
Q/A session,,,,E/A,,,,,,,,,
QA forums,,,,E/A,,,,,,,,,
randomly chosen observed participant,,,,,,E,,,,,,,
reason for project choice,,,,,,,,,,,,,
release cycle.,,,,,,,,,,,,,
rely on documentation ,,E/A,,,,,,,,,,,
reporting a bug,E/A,,,,,,,,,,,,
respond to code review comments,E/A,,,,,,,,,,,,
revert commit,E/A,,,,,,,,,,,,
searching infomation online,E/A,,,,,,,,,,,,
seek help,,,,,,,,,,,,,
select project based on strengths and weaknesses,,E/A,,,,,,,,,,,
select project to contribute,E/A,,,,,,,,,,,,
self motivation,,,,,,,,A,,,,,
setup working environment,E/A,,,,,,,,,,,,
social norms,,,,,,,,,,,,,
Socio-technical interaction with ecosystem,,,,,,,,,,,,,
socio-technical interactions,,,E/A,,,,E/A,E/A,,,,,
solving complex problem,,,,,,,,E/A,,,,,
source of task failure identified,E,,,,,,,,,,,,
splitting commits.,E/A,,,,,,,,,,,,
sticker,,,,,,,,,,,,,
storyboard (issue tracker),E/A,,,,,,,,,,,,
take audio-visual recordings,,,,,,E,,,,,,,
take field notes,,,,,,E,,,,,,,
task identification,E/A,,,,,,,,,,,,
Team work,,,,,,,E/A,,,,,,
Technical divisity,,,,,,,,,,,,,
test environment configuration,E/A,,,,,,,,,,,,
testimonies and feedback,,,,E/A,,,,,,,,,
Theoritical and conceptual knowledge,,,,,,,,,,,,,
think-aloud during tasks,,,,,,E,,,,,,,
timed activity,,,,,,E,,,,,,,
traceability of code changes,E/A,,,,,,,,,,,,
Training materials,,,,,,,,,,,,,
Transfer Skill sets,,,,,,,E/A,E/A,,,,,
troubleshooting problems,E/A,,,,,,,,,,,,
upstream mentoring,,,E/A,,,,,,,,,,
vast expertise needed for OpenStack projects,,,E/A,,,,,,,A,,,
version control (git) activities,E/A,,,,,,,,,,,,
volunteering,,,,,E/A,,,,,,,,
Work Culture,,,E/A,,,,,,,,,,
Working Environment and configuration to facilitate contributions,,,E/A,,,,,,,,,,
working group participation,,,,,,E/A,,,,,,,
writing documentation,E/A,,,,,,,,,,,,