Category,Events,Gender,SZZ,Buggy,Tech_Diversity,Commits,Effort
Cat-1,Cactus,female,23.07,34,2,147.4,10
Cat-1,Cactus,male,23.04,109,1,473,14
Cat-1,Cactus,neutral,23.05,108,1,468.6,1
Cat-1,Cactus,male,22.91,95,1,414.7,11
Cat-1,Cactus,neutral,22.92,89,1,388.3,13
Cat-1,Cactus,male,22.96,73,1,317.9,13
Cat-1,Cactus,male,22.93,57,1,248.6,13
Cat-1,Cactus,male,23.05,53,1,229.9,14
Cat-1,Cactus,male,22.73,51,1,224.4,10
Cat-1,Cactus,male,23.07,50,1,216.7,4
Cat-1,Cactus,female,23.19,50,1,215.6,7
Cat-1,Cactus,male,22.85,48,1,210.1,11
Cat-1,Cactus,male,22.85,48,1,210.1,10
Cat-1,Cactus,male,22.61,47,1,207.9,11
Cat-1,Cactus,male,22.61,47,1,207.9,11
Cat-1,Cactus,male,23.12,44,1,190.3,17
Cat-1,Cactus,male,22.87,41,1,179.3,10
Cat-1,Cactus,neutral,23.15,41,1,177.1,6
Cat-1,Cactus,male,22.87,39,1,170.5,6
Cat-1,Cactus,neutral,22.87,39,1,170.5,6
Cat-1,Cactus,male,22.88,38,1,166.1,6
Cat-1,Cactus,neutral,23.03,38,2,165,6
Cat-1,Cactus,male,23.04,37,2,160.6,6
Cat-1,Cactus,male,23.05,36,2,156.2,1
Cat-1,Cactus,male,23.06,35,2,151.8,1
Cat-1,Cactus,male,22.56,34,2,150.7,1
Cat-1,Cactus,male,22.73,34,2,149.6,4
Cat-1,Cactus,neutral,22.73,34,2,149.6,4
Cat-1,Cactus,male,22.98,139,1,605,13
Cat-1,Cactus,neutral,23.07,34,2,147.4,11
Cat-1,Cactus,male,23.07,34,2,147.4,11
Cat-1,Cactus,male,23.24,34,2,146.3,6
Cat-1,Cactus,male,23.24,34,2,146.3,4
Cat-1,Cactus,male,23.26,33,2,141.9,1
Cat-1,Cactus,male,23.09,32,2,138.6,4
Cat-1,Cactus,male,22.55,31,2,137.5,6
Cat-1,Cactus,male,22.73,31,2,136.4,1
Cat-1,Cactus,male,22.73,31,2,136.4,6
Cat-1,Cactus,neutral,22.92,30,2,130.9,11
Cat-1,Cactus,neutral,23.31,30,2,128.7,11
Cat-1,Cactus,neutral,23.31,30,2,128.7,11
Cat-1,Cactus,neutral,23.13,29,2,125.4,17
Cat-1,Cactus,neutral,22.73,28,2,123.2,17
Cat-1,Cactus,male,23.14,28,2,121,17
Cat-1,Cactus,male,23.16,27,2,116.6,17
Cat-1,Cactus,male,23.16,27,2,116.6,17
Cat-1,Cactus,male,22.73,26,2,114.4,20
Cat-1,Cactus,male,22.73,26,2,114.4,18
Cat-1,Cactus,male,22.5,25,2,111.1,22
Cat-1,Cactus,male,22.96,25,2,108.9,29
Cat-1,Cactus,male,22.49,24,2,106.7,22
Cat-1,Cactus,male,22.73,24,2,105.6,29
Cat-1,Cactus,male,23.21,24,2,103.4,29
Cat-1,Cactus,female,23.46,24,2,102.3,36
Cat-1,Cactus,male,23.46,24,2,102.3,36
Cat-1,Cactus,male,23.46,24,2,102.3,36
Cat-1,Cactus,male,22.98,23,2,100.1,36
Cat-1,Cactus,male,22.98,23,2,100.1,49
Cat-1,Cactus,female,23.23,23,1,99,49
Cat-1,Cactus,male,22.99,22,1,95.7,73
Cat-1,Cactus,male,22.46,21,1,93.5,71
Cat-1,Diablo,male,22.93,305,1,1329.9,1
Cat-1,Diablo,male,22.97,140,1,609.4,1
Cat-1,Diablo,male,22.88,113,1,493.9,1
Cat-1,Diablo,male,22.8,83,1,364.1,1
Cat-1,Diablo,male,22.93,83,1,361.9,1
Cat-1,Diablo,male,23.03,76,1,330,1
Cat-1,Diablo,male,22.96,74,1,322.3,1
Cat-1,Diablo,male,22.73,70,1,308,10
Cat-1,Diablo,male,22.9,68,1,297,10
Cat-1,Diablo,male,22.73,63,1,277.2,10
Cat-1,Diablo,male,22.73,60,1,264,11
Cat-1,Diablo,male,23.21,60,1,258.5,10
Cat-1,Diablo,male,23.03,58,1,251.9,10
Cat-1,Diablo,male,22.94,55,1,239.8,10
Cat-1,Diablo,male,22.84,52,1,227.7,1
Cat-1,Diablo,male,22.84,50,1,218.9,1
Cat-1,Diablo,female,22.98,46,1,200.2,1
Cat-1,Diablo,male,22.99,43,1,187,13
Cat-1,Diablo,male,23.3,41,1,176,11
Cat-1,Diablo,male,23.3,41,1,176,14
Cat-1,Diablo,male,22.87,40,1,174.9,17
Cat-1,Diablo,male,23.01,40,1,173.8,14
Cat-1,Diablo,male,22.87,39,1,170.5,17
Cat-1,Diablo,male,22.87,39,1,170.5,11
Cat-1,Diablo,male,23.02,39,1,169.4,13
Cat-1,Diablo,male,23.02,39,1,169.4,10
Cat-1,Diablo,male,23.02,39,1,169.4,11
Cat-1,Diablo,male,22.58,38,1,168.3,7
Cat-1,Diablo,male,22.57,37,1,163.9,10
Cat-1,Diablo,male,22.73,37,1,162.8,6
Cat-1,Diablo,male,23.21,36,1,155.1,6
Cat-1,Diablo,male,23.06,35,1,151.8,13
Cat-1,Diablo,male,22.73,34,1,149.6,7
Cat-1,Diablo,male,22.9,34,1,148.5,10
Cat-1,Diablo,neutral,23.24,34,1,146.3,4
Cat-1,Diablo,neutral,23.42,34,1,145.2,11
Cat-1,Diablo,neutral,23.42,34,1,145.2,10
Cat-1,Diablo,female,23.42,34,1,145.2,13
Cat-1,Diablo,male,22.91,32,1,139.7,18
Cat-1,Diablo,male,22.55,31,1,137.5,11
Cat-1,Diablo,male,23.1,31,1,134.2,14
Cat-1,Diablo,neutral,23.1,31,1,134.2,13
Cat-1,Diablo,neutral,23.29,31,1,133.1,13
Cat-1,Diablo,male,23.48,31,1,132,7
Cat-1,Diablo,male,23.48,31,1,132,1
Cat-1,Diablo,male,22.92,30,1,130.9,14
Cat-1,Diablo,male,22.92,30,1,130.9,1
Cat-1,Diablo,male,23.31,30,1,128.7,1
Cat-1,Diablo,male,23.31,30,1,128.7,1
Cat-1,Diablo,male,22.73,29,1,127.6,11
Cat-1,Diablo,male,23.35,28,1,119.9,1
Cat-1,Diablo,male,23.35,28,1,119.9,6
Cat-1,Diablo,male,22.73,26,1,114.4,1
Cat-1,Diablo,male,22.95,26,1,113.3,17
Cat-1,Diablo,male,22.95,26,1,113.3,1
Cat-1,Diablo,male,23.17,26,1,112.2,7
Cat-1,Diablo,male,22.5,25,1,111.1,1
Cat-1,Diablo,male,22.73,25,1,110,1
Cat-1,Diablo,neutral,22.73,25,1,110,10
Cat-1,Diablo,male,22.96,25,1,108.9,1
Cat-1,Diablo,female,22.26,24,1,107.8,49
Cat-1,Essex,male,23.03,115,1,499.4,4
Cat-1,Essex,male,23.1,93,1,402.6,4
Cat-1,Essex,male,23.12,89,1,385,13
Cat-1,Essex,male,22.99,88,1,382.8,13
Cat-1,Essex,male,23.15,83,1,358.6,13
Cat-1,Essex,male,22.94,80,1,348.7,14
Cat-1,Essex,male,22.98,68,1,295.9,17
Cat-1,Essex,male,22.9,66,1,288.2,18
Cat-1,Essex,male,23.21,60,1,258.5,14
Cat-1,Essex,male,22.73,57,1,250.8,17
Cat-1,Essex,male,22.93,56,1,244.2,11
Cat-1,Essex,female,22.83,55,1,240.9,13
Cat-1,Essex,female,22.83,54,1,236.5,13
Cat-1,Essex,neutral,22.83,54,1,236.5,6
Cat-1,Essex,neutral,23.05,54,1,234.3,7
Cat-1,Essex,neutral,22.84,50,1,218.9,10
Cat-1,Essex,neutral,22.85,48,1,210.1,11
Cat-1,Essex,neutral,22.97,47,1,204.6,10
Cat-1,Essex,neutral,22.98,45,1,195.8,7
Cat-1,Essex,neutral,23.01,40,1,173.8,6
Cat-1,Essex,male,23.16,40,1,172.7,7
Cat-1,Essex,male,22.73,39,1,171.6,10
Cat-1,Essex,male,23.03,38,1,165,10
Cat-1,Essex,male,22.73,37,1,162.8,4
Cat-1,Essex,male,23.04,37,1,160.6,1
Cat-1,Essex,male,23.2,37,1,159.5,1
Cat-1,Essex,male,22.9,34,1,148.5,4
Cat-1,Essex,male,23.24,34,1,146.3,6
Cat-1,Essex,male,23.24,34,1,146.3,7
Cat-1,Essex,male,23.24,34,1,146.3,4
Cat-1,Essex,female,23.24,34,1,146.3,7
Cat-1,Essex,male,23.26,33,1,141.9,6
Cat-1,Essex,male,23.26,33,1,141.9,10
Cat-1,Essex,male,22.73,32,1,140.8,4
Cat-1,Essex,male,22.91,32,1,139.7,10
Cat-1,Essex,male,22.91,31,1,135.3,4
Cat-1,Essex,male,23.1,31,1,134.2,4
Cat-1,Essex,male,23.29,31,1,133.1,7
Cat-1,Essex,male,23.48,31,1,132,4
Cat-1,Essex,male,22.92,30,1,130.9,4
Cat-1,Essex,male,23.31,30,1,128.7,6
Cat-1,Essex,male,22.73,29,1,127.6,7
Cat-1,Essex,male,22.53,28,1,124.3,6
Cat-1,Essex,male,23.16,27,1,116.6,10
Cat-1,Essex,male,22.73,26,1,114.4,11
Cat-1,Essex,male,22.95,26,1,113.3,11
Cat-1,Essex,male,22.95,26,1,113.3,10
Cat-1,Essex,male,23.17,26,1,112.2,4
Cat-1,Essex,male,22.73,25,1,110,6
Cat-1,Essex,male,22.73,25,1,110,6
Cat-1,Essex,male,22.96,25,1,108.9,13
Cat-1,Essex,male,22.26,24,1,107.8,11
Cat-1,Essex,male,22.26,24,1,107.8,7
Cat-1,Essex,male,22.97,24,1,104.5,10
Cat-1,Essex,male,23.46,24,1,102.3,6
Cat-1,Essex,male,23.46,24,1,102.3,6
Cat-1,Essex,male,22.73,23,1,101.2,13
Cat-1,Essex,male,22.98,23,1,100.1,43
Cat-1,Essex,male,23.23,23,1,99,22
Cat-1,Essex,male,23.23,23,1,99,18
Cat-1,Essex,male,22.47,22,1,97.9,83
Cat-1,Folsom,neutral,23.01,141,1,612.7,10
Cat-1,Folsom,male,22.89,138,1,602.8,4
Cat-1,Folsom,male,22.95,102,1,444.4,4
Cat-1,Folsom,female,22.8,83,1,364.1,17
Cat-1,Folsom,female,23.16,80,1,345.4,11
Cat-1,Folsom,female,23.02,78,1,338.8,17
Cat-1,Folsom,male,22.73,70,1,308,4
Cat-1,Folsom,female,23.09,63,1,272.8,11
Cat-1,Folsom,male,23.02,59,1,256.3,14
Cat-1,Folsom,male,22.83,55,1,240.9,18
Cat-1,Folsom,male,22.83,55,1,240.9,14
Cat-1,Folsom,male,22.94,55,1,239.8,14
Cat-1,Folsom,male,22.61,50,1,221.1,14
Cat-1,Folsom,male,22.96,50,1,217.8,7
Cat-1,Folsom,male,22.96,49,1,213.4,11
Cat-1,Folsom,neutral,22.85,48,1,210.1,17
Cat-1,Folsom,neutral,23.22,47,1,202.4,18
Cat-1,Folsom,neutral,22.85,45,1,196.9,7
Cat-1,Folsom,female,22.6,44,1,194.7,10
Cat-1,Folsom,male,22.99,44,1,191.4,4
Cat-1,Folsom,male,22.86,43,1,188.1,17
Cat-1,Folsom,male,22.73,41,1,180.4,18
Cat-1,Folsom,male,22.87,40,1,174.9,4
Cat-1,Folsom,male,22.73,38,1,167.2,6
Cat-1,Folsom,male,22.73,37,1,162.8,10
Cat-1,Folsom,male,23.36,37,1,158.4,11
Cat-1,Folsom,male,23.05,36,1,156.2,13
Cat-1,Folsom,male,23.42,34,1,145.2,11
Cat-1,Folsom,male,22.55,31,1,137.5,10
Cat-1,Folsom,male,22.55,31,1,137.5,11
Cat-1,Folsom,male,22.91,31,1,135.3,13
Cat-1,Folsom,male,23.1,31,1,134.2,13
Cat-1,Folsom,male,23.29,31,1,133.1,14
Cat-1,Folsom,male,23.48,31,1,132,14
Cat-1,Folsom,male,23.31,30,1,128.7,17
Cat-1,Folsom,male,22.73,29,1,127.6,6
Cat-1,Folsom,male,22.92,29,1,126.5,1
Cat-1,Folsom,male,22.92,29,1,126.5,4
Cat-1,Folsom,neutral,22.53,28,1,124.3,1
Cat-1,Folsom,neutral,22.73,28,1,123.2,6
Cat-1,Folsom,neutral,22.73,28,1,123.2,7
Cat-1,Folsom,neutral,22.93,28,1,122.1,10
Cat-1,Folsom,neutral,23.14,28,1,121,11
Cat-1,Folsom,neutral,23.35,28,1,119.9,10
Cat-1,Folsom,male,23.57,28,1,118.8,7
Cat-1,Folsom,neutral,23.38,27,1,115.5,6
Cat-1,Folsom,male,22.73,26,1,114.4,7
Cat-1,Folsom,male,22.73,26,1,114.4,10
Cat-1,Folsom,male,22.73,26,1,114.4,11
Cat-1,Folsom,male,22.73,26,1,114.4,13
Cat-1,Folsom,male,22.73,26,1,114.4,10
Cat-1,Folsom,male,22.95,26,1,113.3,11
Cat-1,Folsom,male,23.17,26,1,112.2,10
Cat-1,Folsom,male,22.5,25,1,111.1,10
Cat-1,Folsom,male,22.5,25,1,111.1,7
Cat-1,Folsom,male,22.5,25,1,111.1,7
Cat-1,Folsom,male,22.96,25,1,108.9,7
Cat-1,Folsom,male,22.96,25,1,108.9,1
Cat-1,Folsom,male,22.26,24,1,107.8,7
Cat-1,Folsom,male,22.49,24,1,106.7,7
Cat-1,Folsom,male,22.73,24,1,105.6,11
Cat-1,Grizzly,neutral,23,272,1,1182.5,7
Cat-1,Grizzly,neutral,22.98,184,1,800.8,7
Cat-1,Grizzly,neutral,22.98,112,1,487.3,4
Cat-1,Grizzly,neutral,23.02,98,1,425.7,11
Cat-1,Grizzly,neutral,23.04,93,1,403.7,13
Cat-1,Grizzly,neutral,22.94,80,1,348.7,7
Cat-1,Grizzly,neutral,23.01,80,1,347.6,10
Cat-1,Grizzly,neutral,23.16,80,1,345.4,11
Cat-1,Grizzly,neutral,22.89,70,1,305.8,13
Cat-1,Grizzly,neutral,23,63,1,273.9,6
Cat-1,Grizzly,female,23.02,59,1,256.3,18
Cat-1,Grizzly,male,22.94,55,1,239.8,11
Cat-1,Grizzly,male,23.05,53,1,229.9,13
Cat-1,Grizzly,male,22.61,50,1,221.1,13
Cat-1,Grizzly,male,23.07,50,1,216.7,11
Cat-1,Grizzly,male,22.73,48,1,211.2,10
Cat-1,Grizzly,male,22.85,48,1,210.1,7
Cat-1,Grizzly,male,22.97,47,1,204.6,10
Cat-1,Grizzly,male,22.98,45,1,195.8,11
Cat-1,Grizzly,male,22.6,44,1,194.7,7
Cat-1,Grizzly,male,23.26,44,1,189.2,17
Cat-1,Grizzly,male,22.86,43,1,188.1,7
Cat-1,Grizzly,male,22.73,42,1,184.8,13
Cat-1,Grizzly,male,23.3,41,1,176,11
Cat-1,Grizzly,male,22.87,39,1,170.5,14
Cat-1,Grizzly,male,23.2,37,1,159.5,14
Cat-1,Grizzly,male,23.2,37,1,159.5,7
Cat-1,Grizzly,female,23.36,37,1,158.4,17
Cat-1,Grizzly,male,23.21,36,1,155.1,13
Cat-1,Grizzly,male,23.21,36,1,155.1,11
Cat-1,Grizzly,male,23.21,36,1,155.1,11
Cat-1,Grizzly,male,22.73,35,1,154,13
Cat-1,Grizzly,male,22.56,34,1,150.7,13
Cat-1,Grizzly,male,22.9,34,1,148.5,11
Cat-1,Grizzly,male,23.24,34,1,146.3,11
Cat-1,Grizzly,male,22.9,33,1,144.1,11
Cat-1,Grizzly,male,23.08,33,1,143,10
Cat-1,Grizzly,male,23.26,33,3,141.9,14
Cat-1,Grizzly,male,23.26,33,3,141.9,10
Cat-1,Grizzly,male,23.26,33,3,141.9,10
Cat-1,Grizzly,male,23.09,32,3,138.6,7
Cat-1,Grizzly,male,22.73,31,3,136.4,13
Cat-1,Grizzly,male,23.1,31,3,134.2,10
Cat-1,Grizzly,male,23.48,31,3,132,11
Cat-1,Grizzly,male,22.92,30,3,130.9,7
Cat-1,Grizzly,male,22.73,29,3,127.6,6
Cat-1,Grizzly,male,22.92,29,3,126.5,13
Cat-1,Grizzly,neutral,23.13,29,3,125.4,17
Cat-1,Grizzly,female,22.73,28,3,123.2,7
Cat-1,Grizzly,neutral,23.14,28,3,121,4
Cat-1,Grizzly,male,23.14,28,2,121,6
Cat-1,Grizzly,male,23.57,28,2,118.8,11
Cat-1,Grizzly,male,22.94,27,2,117.7,7
Cat-1,Grizzly,male,23.16,27,2,116.6,13
Cat-1,Grizzly,female,22.73,26,1,114.4,14
Cat-1,Grizzly,male,22.73,26,1,114.4,10
Cat-1,Grizzly,male,22.73,26,1,114.4,20
Cat-1,Grizzly,male,22.95,26,1,113.3,1
Cat-1,Grizzly,male,22.96,25,1,108.9,10
Cat-1,Grizzly,male,22.26,24,1,107.8,10
Cat-1,Grizzly,male,22.49,24,1,106.7,10
Cat-1,Havana,male,22.97,118,1,513.7,7
Cat-1,Havana,neutral,22.94,82,1,357.5,7
Cat-1,Havana,male,23.11,76,1,328.9,7
Cat-1,Havana,male,22.73,70,1,308,7
Cat-1,Havana,male,23.14,70,1,302.5,10
Cat-1,Havana,male,22.9,67,1,292.6,4
Cat-1,Havana,female,22.98,67,1,291.5,13
Cat-1,Havana,male,22.91,62,1,270.6,7
Cat-1,Havana,female,22.92,61,1,266.2,4
Cat-1,Havana,male,22.92,60,1,261.8,6
Cat-1,Havana,male,23.04,56,1,243.1,7
Cat-1,Havana,male,23.16,53,1,228.8,4
Cat-1,Havana,male,22.84,51,1,223.3,6
Cat-1,Havana,male,23.07,50,1,216.7,10
Cat-1,Havana,female,23.22,47,1,202.4,11
Cat-1,Havana,female,23.26,44,1,189.2,20
Cat-1,Havana,male,22.59,41,1,181.5,7
Cat-1,Havana,male,22.87,39,1,170.5,10
Cat-1,Havana,male,22.88,38,1,166.1,6
Cat-1,Havana,male,23.03,38,1,165,11
Cat-1,Havana,male,23.03,38,1,165,13
Cat-1,Havana,male,23.36,37,1,158.4,4
Cat-1,Havana,male,23.36,37,1,158.4,1
Cat-1,Havana,male,23.36,37,1,158.4,1
Cat-1,Havana,male,22.89,36,1,157.3,6
Cat-1,Havana,neutral,23.07,34,1,147.4,1
Cat-1,Havana,neutral,23.24,34,1,146.3,1
Cat-1,Havana,neutral,23.42,34,1,145.2,1
Cat-1,Havana,male,23.42,34,1,145.2,6
Cat-1,Havana,male,23.29,31,1,133.1,7
Cat-1,Havana,male,23.29,31,1,133.1,10
Cat-1,Havana,male,23.11,30,1,129.8,10
Cat-1,Havana,male,23.13,29,1,125.4,1
Cat-1,Havana,female,22.93,28,1,122.1,31
Cat-1,Havana,male,22.94,27,1,117.7,1
Cat-1,Havana,male,23.38,27,1,115.5,1
Cat-1,Havana,male,22.73,26,1,114.4,1
Cat-1,Havana,male,22.73,26,1,114.4,1
Cat-1,Havana,male,22.73,26,1,114.4,28
Cat-1,Havana,male,22.95,26,1,113.3,4
Cat-1,Havana,male,22.95,26,1,113.3,6
Cat-1,Havana,male,22.95,26,1,113.3,6
Cat-1,Havana,neutral,22.96,25,1,108.9,7
Cat-1,Havana,neutral,22.96,25,1,108.9,7
Cat-1,Havana,neutral,22.96,25,1,108.9,10
Cat-1,Havana,neutral,22.26,24,1,107.8,6
Cat-1,Havana,neutral,22.49,24,1,106.7,11
Cat-1,Havana,male,22.97,24,1,104.5,4
Cat-1,Havana,male,22.97,24,1,104.5,13
Cat-1,Havana,male,23.21,24,1,103.4,10
Cat-1,Havana,neutral,23.21,24,1,103.4,11
Cat-1,Havana,neutral,23.46,24,1,102.3,13
Cat-1,Havana,neutral,23.46,24,1,102.3,14
Cat-1,Havana,male,23.46,24,1,102.3,17
Cat-1,Havana,male,22.73,23,1,101.2,10
Cat-1,Havana,male,22.98,23,1,100.1,7
Cat-1,Havana,neutral,22.47,22,1,97.9,4
Cat-1,Havana,neutral,22.73,22,1,96.8,4
Cat-1,Havana,male,22.99,22,1,95.7,7
Cat-1,Havana,male,22.99,22,1,95.7,10
Cat-1,Havana,neutral,22.73,21,1,92.4,11
Cat-1,Icehouse,neutral,22.89,177,1,773.3,13
Cat-1,Icehouse,neutral,22.94,132,1,575.3,13
Cat-1,Icehouse,neutral,22.98,113,1,491.7,13
Cat-1,Icehouse,neutral,23.04,111,1,481.8,10
Cat-1,Icehouse,neutral,22.94,109,1,475.2,11
Cat-1,Icehouse,neutral,22.97,93,1,404.8,13
Cat-1,Icehouse,male,22.94,82,1,357.5,14
Cat-1,Icehouse,male,22.94,80,1,348.7,11
Cat-1,Icehouse,male,23.09,79,1,342.1,7
Cat-1,Icehouse,male,23.02,78,1,338.8,6
Cat-1,Icehouse,male,23.04,73,1,316.8,6
Cat-1,Icehouse,male,22.92,60,1,261.8,6
Cat-1,Icehouse,male,23.11,60,1,259.6,11
Cat-1,Icehouse,male,23.21,60,1,258.5,10
Cat-1,Icehouse,female,23.04,55,1,238.7,11
Cat-1,Icehouse,male,23.16,53,1,228.8,13
Cat-1,Icehouse,male,23.06,52,1,225.5,6
Cat-1,Icehouse,male,22.73,51,1,224.4,6
Cat-1,Icehouse,female,22.85,47,1,205.7,6
Cat-1,Icehouse,female,22.97,47,1,204.6,13
Cat-1,Icehouse,female,23.1,46,1,199.1,10
Cat-1,Icehouse,female,22.6,44,1,194.7,13
Cat-1,Icehouse,male,22.99,44,1,191.4,10
Cat-1,Icehouse,male,22.99,44,1,191.4,11
Cat-1,Icehouse,male,22.73,42,1,184.8,13
Cat-1,Icehouse,male,23.01,41,1,178.2,7
Cat-1,Icehouse,male,22.87,39,1,170.5,10
Cat-1,Icehouse,male,22.73,38,1,167.2,11
Cat-1,Icehouse,female,22.57,37,1,163.9,14
Cat-1,Icehouse,male,22.57,37,1,163.9,7
Cat-1,Icehouse,male,22.73,37,1,162.8,11
Cat-1,Icehouse,male,23.06,35,1,151.8,13
Cat-1,Icehouse,male,22.56,34,1,150.7,11
Cat-1,Icehouse,male,23.24,34,1,146.3,6
Cat-1,Icehouse,neutral,23.24,34,1,146.3,7
Cat-1,Icehouse,neutral,23.08,33,1,143,10
Cat-1,Icehouse,neutral,22.91,31,1,135.3,11
Cat-1,Icehouse,neutral,23.1,31,1,134.2,11
Cat-1,Icehouse,male,23.1,31,1,134.2,32
Cat-1,Icehouse,neutral,23.48,31,1,132,10
Cat-1,Icehouse,male,23.48,31,1,132,35
Cat-1,Icehouse,male,23.11,30,1,129.8,13
Cat-1,Icehouse,male,23.31,30,1,128.7,14
Cat-1,Icehouse,male,22.92,29,1,126.5,1
Cat-1,Icehouse,male,22.92,29,1,126.5,14
